answer,question,baseline
Paris,Where would you find the Eiffel Tower?,Paris.
Japan,Which country is known as the Land of the Rising Sun?,Japan
Canberra,What is the capital of Australia?,Canberra
Nile,Which river is the longest in the world?,Nile River.
Antarctic,What is the largest desert in the world?,Sahara
Egypt,Where are the ancient Pyramids of Giza located?,Egypt.
Vatican City,What is the smallest country in the world by area?,Vatican City
Pacific,What is the name of the largest ocean on Earth?,Pacific
France,Which country gifted the Statue of Liberty to the United States?,France
Cairo,What is the capital of Egypt?,Cairo
Mars,Which planet is known as the Red Planet?,Mars
Jordan,In which country would you find the ancient city of Petra?,Jordan
Blue Whale,What is the largest mammal in the world?,Blue whale.
Nepal and Tibet,Mount Everest is located on the border between which two countries?,Nepal and Tibet (China).
Vietnam Veterans Memorial,Which monument is inscribed with the names of the fallen American soldiers of the Vietnam War?,The Vietnam Veterans Memorial.
Pacific Ocean,The Great Barrier Reef is located in which body of water?,Coral Sea.
San Francisco,Which city is known for its iconic Golden Gate Bridge?,San Francisco.
Amazon Rainforest,What is the name of the largest rainforest on the planet?,Amazon Rainforest.
Ottawa,What is the capital city of Canada?,Ottawa
Peru,The ancient city of Machu Picchu is in which country?,Peru
Italy,Which country is the Colosseum located in?,Italy
19,The currency Euro is used by how many European countries?,19
Amazon,What is the name of the longest river in South America?,Amazon River.
Philadelphia,In which city can you find the Liberty Bell?,Philadelphia.
Corsica,The historical figure Napoleon Bonaparte was born on which island?,Corsica
Madrid,What is the capital of Spain?,Madrid
India,In which country is the Taj Mahal located?,India
Norway,Which country is famous for its fjords?,Norway
Athens,The ancient Acropolis is located in which city?,Athens.
Asia,What is the name of the largest continent?,Asia.
Sydney,Which of these cities is not a national capital?,Paris
Pacific and Atlantic,The Panama Canal connects which two oceans?,The Pacific Ocean and the Atlantic Ocean.
Great Barrier Reef,What is the name of the world's largest coral reef system?,The Great Barrier Reef.
New York City,Which city is known as the Big Apple?,New York City.
The Louvre,The Mona Lisa is housed in which museum?,The Louvre.
Sweden,Which country is the origin of the car brand Volvo?,Sweden
Amsterdam,Which city is known as the 'Venice of the North'?,Stockholm.
Tokyo,What is the most populous city in the world?,Tokyo
Angel Falls,What is the name of the highest uninterrupted waterfall in the world?,Angel Falls
Brasília,What is the capital of Brazil?,Brasília
United States,Which country is known for constructing the Panama Canal?,United States
Russia,Which country is the largest by area?,Russia
Boston,Which city is famous for the historical event of the 'Boston Tea Party'?,Boston.
Dubai,"Where is the world's tallest building, the Burj Khalifa, located?","Dubai, United Arab Emirates."
Mount Vesuvius,The ancient city of Pompeii was destroyed by which volcano?,Mount Vesuvius.
"21,000 km",The Great Wall of China is approximately how long?,"13,170 miles."
Tanzania,Which country is the Serengeti National Park located in?,Tanzania
Greenland,What is the largest island in the world?,Greenland.
Mariana Trench,What is the name of the deepest known location in the Earth's oceans?,Mariana Trench.
England,The historical landmark Stonehenge is located in which country?,England
Colorado River,Which river flows through the Grand Canyon?,Colorado River.
Europe,The city of Istanbul spans two continents: Asia and which other?,Europe
Cambodia,The ancient ruins of Angkor Wat can be found in which country?,Cambodia.
Olympia,Which city is known for the creation of the original Olympic Games?,Olympia.
Atlanta,What is the capital of the U.S. state of Georgia?,Atlanta
Venezuela,Which South American country is named after the Italian city of Venice?,Venezuela
California,The historic site Alcatraz Island is located in which U.S. state?,California
Lake Superior,What is the name of the largest freshwater lake in the world by surface area?,Lake Superior.
Hong Kong,Which Asian city is also known as the 'Pearl of the Orient'?,Hong Kong.
221B Baker Street,The famous detective Sherlock Holmes is associated with which London address?,221B Baker Street.
Chernobyl,The catastrophic nuclear accident that occurred in 1986 is associated with which power plant?,Chernobyl.
Peace,"The Nobel Prizes are awarded in Stockholm, Sweden in all categories except one, which is awarded in Oslo, Norway. Which category is it?",Peace
Yen,What is the name of the currency used in Japan?,Yen
Camel,Which animal is known as the 'Ship of the Desert'?,Camel
Pripyat,In what city did the Chernobyl nuclear disaster occur?,Pripyat.
Southampton,Where did the Titanic depart from on its maiden voyage?,Southampton.
Berlin,"Which city was divided by a wall, separating East from West, during the Cold War?",Berlin.
Neil Armstrong,Who was the first person to set foot on the Moon?,Neil Armstrong.
Assassination of Archduke Franz Ferdinand,What was the main cause of World War I?,Assassination of Archduke Franz Ferdinand.
1989,What year did the Berlin Wall fall?,1989
Mughal Empire,Which empire built the Taj Mahal?,Mughal
Robben Island,Where was Nelson Mandela imprisoned for 18 of his 27 years in jail?,Robben Island.
Nikita Khrushchev,Who was the leader of the Soviet Union during the Cuban Missile Crisis?,Nikita Khrushchev
1912,In what year did the Titanic sink?,1912
The Great Pyramids,"What ancient structure is located in Giza, Egypt?",The Great Pyramid of Giza.
Michelangelo,Who painted the ceiling of the Sistine Chapel?,Michelangelo.
2016,What year did the United Kingdom vote to leave the European Union?,2016
Amelia Earhart,Who was the first woman to fly solo across the Atlantic Ocean?,Amelia Earhart.
Dallas,In which city was John F. Kennedy assassinated?,Dallas.
Soviet Union,Which country first sent an object into space?,Soviet Union.
2007,In which year was the first iPhone released?,2007
Margaret Thatcher,Who was the first female Prime Minister of the United Kingdom?,Margaret Thatcher
Iran,Which country was formerly known as Persia?,Iran
Storming of the Bastille,Which event is commonly acknowledged as the start of the French Revolution?,Storming of the Bastille.
New Zealand,What was the first country to grant women the right to vote?,New Zealand.
Thomas Jefferson,Who was the principal author of the Declaration of Independence?,Thomas Jefferson.
1588,What year did the Spanish Armada attempt to invade England?,1588
"Kitty Hawk, North Carolina",Where was the first successful airplane flight conducted by the Wright brothers?,"Kitty Hawk, North Carolina."
The Incas,Which ancient civilization built the Machu Picchu complex?,The Inca civilization.
1945,What year was the United Nations established?,1945
Augustus,Who was the first Emperor of Rome?,Augustus
Albert Einstein,Who is known for developing the theory of relativity?,Albert Einstein
Sputnik 1,"What was the name of the first artificial Earth satellite, launched by the Soviet Union in 1957?",Sputnik 1.
1991,"In which year did the fall of the Soviet Union occur, marking the end of the Cold War?",1991
Neville Chamberlain,Who was the British prime minister at the start of World War II?,Neville Chamberlain.
"Olympia, Greece",Where did the ancient Olympic Games originate?,Greece.
Abraham Lincoln,Which U.S. President signed the Emancipation Proclamation?,Abraham Lincoln.
Mongol Empire,What was the largest contiguous empire in history?,The British Empire.
Petra,Which of the following landmarks is located in Jordan?,The Dead Sea.
1947,In what year did India gain its independence from Britain?,1947
Operation Overlord,What was the code name for the Allied invasion of Normandy in June 1944?,Operation Overlord.
RMS Titanic,What ship famously sank on its maiden voyage in April 1912?,Titanic
Kuwait,"Which country did Iraq invade in 1990, leading to the Gulf War?",Kuwait
The Salem Witch Trials,What historical event is known for the extensive witch trials in Massachusetts?,The Salem Witch Trials.
George Washington,Who was the first president of the United States?,George Washington
The French Revolution,Which world event is marked by the storming of the Bastille in 1789?,French Revolution.
Joseph Stalin,Who was the famous leader of the Soviet Union during World War II?,Joseph Stalin
The Berlin Wall,"What wall officially came down in 1989, symbolizing the end of the Cold War?",The Berlin Wall.
China,Which country was the first to use paper money?,China.
Ferdinand Magellan,Who was the first person to circumnavigate the globe?,Ferdinand Magellan.
Alexandria,Where was the ancient Library of Alexandria located?,"Alexandria, Egypt."
F. W. de Klerk,Who was the South African president who ended apartheid?,Nelson Mandela
Mercury,What is the name of the first human spaceflight program by the United States?,Mercury
1896,In which year was the first modern Olympic Games held?,1896
Z3,What was the name of the first programmable computer invented by Konrad Zuse?,Z1.
Anzio,What was the main Allied beachhead in southern France during World War II?,Operation Dragoon.
Karl Marx,Who wrote the influential communist manifesto?,Karl Marx and Friedrich Engels.
